Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772064509946,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,5.714285850524902,5.555555820465088,8.108107566833496,2.857142925262451,2.857142925262451,16.666667938232422,5.555555820465088,8.108107566833496,5.555555820465088,2.857142925262451,2.857142925262451,5.555555820465088,14909.556518554688,4096,387,3286,47,0,208834.43951416016,162456.80267333984,2836.8292236328125,16408723456,4294963200,2456465408,114688
200,1772064509946,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,5.714285850524902,5.555555820465088,8.108107566833496,2.857142925262451,2.857142925262451,16.666667938232422,5.555555820465088,8.108107566833496,5.555555820465088,2.857142925262451,2.857142925262451,5.555555820465088,14909.580932617188,4096,387,3286,47,0,208834.8702392578,162457.12646484375,2836.8292236328125,16408723456,4294963200,2462322688,114688
200,1772064510146,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,79.31034851074219,3.5714287757873535,46.42856979370117,0,0,32.14285659790039,0,0,0,10.344827651977539,0,0,14909.814208984375,4096,387,2850,47,0,208840.64190673828,162462.29528808594,2836.8292236328125,16408723456,4294963200,2617778176,114688
200,1772064510346,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,100,0,0,0,0,5.263157844543457,0,0,0,0,0,0,14909.992919921875,4096,387,2968,47,0,208843.82458496094,162464.92016601563,2836.8292236328125,16408723456,4294963200,2675175424,114688
200,1772064510546,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,15.000000953674316,0,0,90,0,10,0,0,0,0,0,0,14910.159301757813,4096,387,2950,48,0,208847.40997314453,162467.95098876953,2836.8292236328125,16408723456,4294963200,2715586560,114688
200,1772064510746,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,100,0,10,0,0,0,0,0,0,14910.314819335938,4096,387,2936,48,0,208850.88189697266,162470.8731689453,2836.8292236328125,16408723456,4294963200,2735820800,114688
200,1772064510946,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,100,0,10,0,0,0,0,0,0,14910.456726074219,4096,387,3093,48,0,208854.5542602539,162473.97882080078,2836.8292236328125,16408723456,4294963200,2754723840,114688
200,1772064511147,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,100,0,10,0,0,0,0,0,0,14910.627014160156,4096,387,2894,48,0,208858.02807617188,162476.88885498047,2836.8292236328125,16408723456,4294963200,2754228224,114688
200,1772064511347,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,95.23809814453125,0,5.263157844543457,0,0,0,0,0,0,14910.779663085938,4096,387,2865,48,0,208861.6082763672,162479.91961669922,2836.8292236328125,16408723456,4294963200,2773942272,114688
200,1772064511547,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,100,0,9.523809432983398,0,0,0,0,0,0,14910.969299316406,4096,387,2819,48,0,208864.60614013672,162482.3546142578,2836.8292236328125,16408723456,4294963200,2798436352,114688
200,1772064511747,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,100,0,14.285715103149414,0,0,0,0,0,0,14911.121032714844,4096,387,2881,48,0,208868.3052368164,162485.4800415039,2836.8292236328125,16408723456,4294963200,2827722752,114688
200,1772064511947,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,100,0,5.263157844543457,0,0,0,0,0,0,14911.321350097656,4096,387,3066,47,0,208871.14178466797,162487.74743652344,2836.8292236328125,16408723456,4294963200,2835517440,114688
200,1772064512147,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,100,0,10,0,0,0,0,0,0,14911.470031738281,4096,387,2870,47,0,208874.8013305664,162490.86236572266,2836.8292236328125,16408723456,4294963200,2845466624,114688
200,1772064512347,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,4.761904716491699,0,0,100,9.090909004211426,10,0,0,0,0,0,4.761904716491699,14911.678100585938,4096,387,3384,47,0,208878.9249267578,162494.15130615234,2836.8645629882813,16408723456,4294963200,3006767104,114688
200,1772064512547,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,95,0,15.789472579956055,0,0,0,0,0,0,14911.862182617188,4096,390,2783,48,0,208883.09259033203,162497.55017089844,2836.8645629882813,16408723456,4294963200,3039506432,114688
200,1772064512747,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,35,0,13.636363983154297,0,65,0,0,4.761904716491699,0,14912.040466308594,4096,488,12690,48,0,208886.83325195313,162500.61157226563,2836.8645629882813,16408723456,4294963200,3123515392,114688
200,1772064512947,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,0,0,5.263157844543457,0,95.23809814453125,0,0,0,0,14912.268188476563,4096,630,16502,49,8,208890.43408203125,162503.6177368164,2836.8788452148438,16408723456,4294963200,3178680320,114688
200,1772064513147,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,0,0,9.523809432983398,0,95,0,0,0,0,14912.47314453125,4096,630,15538,49,34,208893.97869873047,162506.5767211914,2836.8788452148438,16408723456,4294963200,3454980096,114688
200,1772064513348,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,0,0,5.263157844543457,0,100,0,0,0,0,14912.622436523438,4096,630,21421,49,44,208897.61590576172,162509.67431640625,2836.8788452148438,16408723456,4294963200,3487993856,114688
200,1772064513548,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,0,0,5,0,100,0,0,0,0,14912.770385742188,4096,630,31511,50,89,208901.14263916016,162512.65295410156,2836.88720703125,16408723456,4294963200,3487993856,114688
200,1772064513748,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,0,0,10,0,100,0,0,0,0,14912.9169921875,4096,630,31100,50,85,208904.70446777344,162515.67694091797,2836.88720703125,16408723456,4294963200,3487993856,114688
200,1772064513948,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,0,0,9.523809432983398,0,100,0,0,0,0,14913.062622070313,4096,632,32399,52,84,208908.22528076172,162518.63415527344,2836.88720703125,16408723456,4294963200,3487993856,114688
200,1772064514148,1449,2466,2010,1445,2420,1286,800,800,800,800,800,800,0,0,0,0,0,5,0,100,0,0,0,0,14913.21044921875,4096,632,31869,52,88,208911.62298583984,162521.48907470703,2836.8914184570313,16408723456,4294963200,3476078592,114688
