Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772062103268,800,800,800,800,800,800,800,800,800,800,800,800,8.333333969116211,8.333333969116211,5.714285850524902,5.555555820465088,5.555555820465088,8.333333969116211,8.108107566833496,11.428571701049805,5.714285850524902,5.714285850524902,5.714285850524902,5.555555820465088,13188.001586914063,4096,387,2992,50,0,167195.1982421875,127034.40026855469,2830.95556640625,16408723456,4294963200,2462470144,114688
200,1772062103268,800,800,800,800,800,800,800,800,800,800,800,800,8.333333969116211,8.333333969116211,5.714285850524902,5.555555820465088,5.555555820465088,8.333333969116211,8.108107566833496,11.428571701049805,5.714285850524902,5.714285850524902,5.714285850524902,5.555555820465088,13188.027099609375,4096,387,2992,50,0,167195.6446533203,127034.7299194336,2830.95556640625,16408723456,4294963200,2466197504,114688
200,1772062103468,800,800,800,800,800,800,800,800,800,800,800,800,82.14286041259766,0,0,0,0,0,0,32.14285659790039,0,0,0,0,13188.221740722656,4096,387,3045,50,0,167199.03063964844,127037.53894042969,2830.95556640625,16408723456,4294963200,2603573248,114688
200,1772062103668,800,800,800,800,800,800,800,800,800,800,800,800,100,0,0,0,0,0,0,10,0,0,0,0,13188.400451660156,4096,387,3140,50,0,167202.32879638672,127040.27551269531,2830.95556640625,16408723456,4294963200,2660814848,114688
199,1772062103868,800,800,800,800,800,800,800,800,800,800,800,800,10,0,0,85.71428680419922,0,0,0,10,0,0,0,0,13188.565979003906,4096,387,3030,50,0,167205.83856201172,127043.208984375,2830.95556640625,16408723456,4294963200,2696855552,114688
199,1772062104069,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,14.285715103149414,0,0,0,0,13188.722961425781,4096,387,3033,50,0,167209.0894165039,127045.90637207031,2830.95556640625,16408723456,4294963200,2716536832,114688
199,1772062104269,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,10.526315689086914,0,0,0,0,13188.865112304688,4096,387,3020,50,0,167212.57098388672,127048.83801269531,2830.95556640625,16408723456,4294963200,2727985152,114688
199,1772062104469,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,10,0,0,0,0,13189.033203125,4096,387,3031,50,0,167215.67724609375,127051.38525390625,2830.95556640625,16408723456,4294963200,2744492032,114688
199,1772062104669,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,10,0,0,0,0,13189.182800292969,4096,387,3258,50,0,167219.2216796875,127054.37719726563,2830.95556640625,16408723456,4294963200,2753544192,114688
199,1772062104869,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,14.285715103149414,0,0,0,0,13189.373352050781,4096,387,2917,50,0,167222.08575439453,127056.66619873047,2830.95556640625,16408723456,4294963200,2774310912,114688
