Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772064419040,800,800,800,799,800,800,800,799,800,800,800,800,8.571429252624512,8.333333969116211,5.714285850524902,14.705883026123047,5.714285850524902,8.333333969116211,5.714285850524902,8.333333969116211,8.333333969116211,8.571429252624512,8.333333969116211,8.333333969116211,14846.093505859375,4096,387,2951,48,0,207705.1596069336,161555.2109375,2836.5647583007813,16408723456,4294963200,2460823552,114688
200,1772064419040,800,800,800,799,800,800,800,799,800,800,800,800,8.571429252624512,8.333333969116211,5.714285850524902,14.705883026123047,5.714285850524902,8.333333969116211,5.714285850524902,8.333333969116211,8.333333969116211,8.571429252624512,8.333333969116211,8.333333969116211,14846.117919921875,4096,387,3433,48,0,207705.59112548828,161555.5264892578,2836.5647583007813,16408723456,4294963200,2462912512,114688
200,1772064419240,800,800,800,799,800,800,800,799,800,800,800,800,82.75862121582031,0,0,32.14285659790039,0,0,0,0,0,0,0,3.4482758045196533,14846.312255859375,4096,387,2907,48,0,207708.92236328125,161558.29278564453,2836.5647583007813,16408723456,4294963200,2602151936,114688
200,1772064419440,800,800,800,799,800,800,800,799,800,800,800,800,100,0,0,9.523809432983398,0,0,0,0,0,0,0,0,14846.490661621094,4096,387,3052,48,0,207712.14770507813,161560.96325683594,2836.5647583007813,16408723456,4294963200,2659393536,114688
200,1772064419640,800,800,800,799,800,800,800,799,800,800,800,800,10.526315689086914,0,61.904762268066406,100,0,0,0,0,0,0,0,10.526315689086914,14846.692565917969,4096,387,2947,48,0,207718.28802490234,161566.53399658203,2836.5647583007813,16408723456,4294963200,2703904768,114688
200,1772064419840,800,800,800,799,800,800,800,799,800,800,800,800,10,0,0,100,0,0,0,0,0,0,0,0,14846.853393554688,4096,387,3065,48,0,207721.7208251953,161569.4090576172,2836.5647583007813,16408723456,4294963200,2740092928,114688
200,1772064420040,800,800,800,799,800,800,800,799,800,800,800,800,14.285715103149414,0,0,100,0,0,0,0,0,0,0,0,14847.00048828125,4096,387,2955,48,0,207725.48583984375,161572.5909423828,2836.570068359375,16408723456,4294963200,2757173248,114688
200,1772064420240,800,800,800,799,800,800,800,799,800,800,800,800,5.263157844543457,0,0,100,0,0,0,0,0,0,0,0,14847.169860839844,4096,387,2930,48,0,207728.71356201172,161575.25848388672,2836.570068359375,16408723456,4294963200,2765426688,114688
200,1772064420440,800,800,800,799,800,800,800,799,800,800,800,800,10,0,0,100,0,0,0,0,0,0,0,0,14847.322631835938,4096,387,3073,48,0,207732.3116455078,161578.26611328125,2836.570068359375,16408723456,4294963200,2776608768,114688
200,1772064420640,800,800,800,799,800,800,800,799,800,800,800,800,10,0,0,100,0,0,0,0,0,0,0,0,14847.512756347656,4096,387,2924,48,0,207735.3900756836,161580.77838134766,2836.570068359375,16408723456,4294963200,2799771648,114688
