Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771968200186,800,800,800,799,800,800,800,799,800,800,800,800,5.882352828979492,5.882352828979492,2.941176414489746,0,3.0303030014038086,3.0303030014038086,5.882352828979492,3.0303030014038086,3.0303030014038086,9.090909004211426,3.0303030014038086,5.882352828979492,22001.131958007813,4096,387,3721,50,0,72411.841796875,3991.3739624023438,3286.9619140625,16408719360,4294963200,2591596544,233472
200,1771968200186,800,800,800,799,800,800,800,799,800,800,800,800,5.882352828979492,5.882352828979492,2.941176414489746,0,3.0303030014038086,3.0303030014038086,5.882352828979492,3.0303030014038086,3.0303030014038086,9.090909004211426,3.0303030014038086,5.882352828979492,22001.15869140625,4096,387,3721,50,0,72412.39099121094,3991.7932739257813,3286.9619140625,16408719360,4294963200,2598518784,233472
200,1771968200386,800,800,800,799,800,800,800,799,800,800,800,800,82.14286041259766,0,0,0,0,0,0,0,0,32.14285659790039,0,0,22001.35009765625,4096,387,3219,50,0,72415.71166992188,3994.5343627929688,3286.9619140625,16408719360,4294963200,2735329280,233472
200,1771968200586,800,800,800,799,800,800,800,799,800,800,800,800,100,0,0,0,0,0,0,0,0,15.000000953674316,0,0,22001.524291992188,4096,387,3332,49,0,72418.82897949219,3997.1041870117188,3286.9619140625,16408719360,4294963200,2792837120,233472
200,1771968200786,800,800,800,799,800,800,800,799,800,800,800,800,19.047618865966797,0,0,85,0,0,0,0,0,14.285715103149414,0,0,22001.6806640625,4096,387,3270,49,0,72422.3583984375,4000.0899658203125,3286.9619140625,16408719360,4294963200,2829053952,233472
200,1771968200986,800,800,800,799,800,800,800,799,800,800,800,800,0,0,0,100,0,0,0,0,0,10,0,0,22001.842834472656,4096,387,3213,49,0,72425.87377929688,4003.0570068359375,3286.9619140625,16408719360,4294963200,2848755712,233472
200,1771968201186,800,800,800,799,800,800,800,799,800,800,800,800,0,0,0,100,0,0,0,0,0,15.789472579956055,0,0,22001.982421875,4096,387,3188,50,0,72429.71356201172,4006.3067626953125,3286.9619140625,16408719360,4294963200,2859937792,233472
200,1771968201387,800,800,800,799,800,800,800,799,800,800,800,800,0,0,0,100,0,0,0,0,0,10,0,0,22002.148498535156,4096,387,3250,50,0,72433.0571899414,4009.0994262695313,3286.9619140625,16408719360,4294963200,2876710912,233472
200,1771968201587,800,800,800,799,800,800,800,799,800,800,800,800,0,0,0,100,0,0,0,0,0,10,0,0,22002.296936035156,4096,387,3313,50,0,72436.75225830078,4012.2551879882813,3286.9619140625,16408719360,4294963200,2886029312,233472
200,1771968201787,800,800,800,799,800,800,800,799,800,800,800,800,0,0,0,0,0,0,0,100,0,15.000000953674316,0,0,22002.48504638672,4096,387,3172,50,0,72439.8681640625,4014.7920532226563,3286.9619140625,16408719360,4294963200,2909687808,233472
200,1771968201987,800,800,800,799,800,800,800,799,800,800,800,800,0,0,0,0,0,0,0,100,0,10,0,0,22002.63397216797,4096,387,3186,50,0,72443.58618164063,4017.970703125,3286.9619140625,16408719360,4294963200,2934112256,233472
200,1771968202187,800,800,800,799,800,800,800,799,800,800,800,800,0,0,0,0,0,0,0,100,0,19.047618865966797,0,0,22002.8310546875,4096,387,3183,49,0,72446.6029663086,4020.3688354492188,3286.9619140625,16408719360,4294963200,2942099456,233472
200,1771968202387,800,800,800,799,800,800,800,799,800,800,800,800,0,0,0,0,0,0,0,100,0,10.526315689086914,0,0,22002.977172851563,4096,387,3193,49,0,72450.27001953125,4023.4973754882813,3286.9619140625,16408719360,4294963200,2953564160,233472
200,1771968202587,800,800,800,799,800,800,800,799,800,800,800,800,0,0,5,0,15.000000953674316,0,0,100,5,10,0,0,22003.17266845703,4096,387,3818,50,0,72455.04608154297,4027.5507202148438,3286.9619140625,16408719360,4294963200,3099389952,233472
200,1771968202787,800,800,800,799,800,800,800,799,800,800,800,800,0,0,55,0,0,0,0,94.73684692382813,0,40,0,0,22003.356811523438,4096,390,3395,50,0,72460.86828613281,4032.4019775390625,3286.9619140625,16408719360,4294963200,3161321472,233472
200,1771968202987,800,800,800,799,800,800,800,799,800,800,800,800,0,0,0,0,0,0,0,100,0,14.285715103149414,0,0,22003.538513183594,4096,400,11665,50,0,72464.85565185547,4035.7362060546875,3286.9619140625,16408719360,4294963200,3219132416,233472
