Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771965202590,800,800,800,800,800,800,800,800,800,800,800,799,5.882352828979492,5.555555820465088,5.555555820465088,8.108107566833496,5.555555820465088,2.941176414489746,5.555555820465088,2.857142925262451,2.857142925262451,5.714285850524902,5.714285850524902,11.428571701049805,19859.822326660156,4096,387,3476,50,0,20437.799865722656,221838.75952148438,3274.387939453125,16408719360,4294963200,2632536064,233472
200,1771965202590,800,800,800,800,800,800,800,800,800,800,800,799,5.882352828979492,5.555555820465088,5.555555820465088,8.108107566833496,5.555555820465088,2.941176414489746,5.555555820465088,2.857142925262451,2.857142925262451,5.714285850524902,5.714285850524902,11.428571701049805,19859.85107421875,4096,387,3476,50,0,20438.376342773438,221839.1748046875,3274.387939453125,16408719360,4294963200,2638393344,233472
200,1771965202791,800,800,800,800,800,800,800,800,800,800,800,799,79.31034851074219,39.28571319580078,41.379310607910156,40.74074172973633,39.28571319580078,41.379310607910156,41.379310607910156,42.85714340209961,41.379310607910156,41.379310607910156,39.28571319580078,60.000003814697266,19860.00079345703,4096,387,3271,50,0,20446.22979736328,221846.4757080078,3274.387939453125,16408719360,4294963200,2669801472,233472
200,1771965202991,800,800,800,800,800,800,800,800,800,800,800,799,63.15789031982422,65,61.904762268066406,60.000003814697266,63.15789031982422,60.000003814697266,63.15789031982422,60.000003814697266,100,60.000003814697266,61.904762268066406,60.000003814697266,19860.14520263672,4096,387,3286,50,0,20454.407958984375,221854.04516601563,3274.387939453125,16408719360,4294963200,2679291904,233472
200,1771965203191,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,0,0,0,0,0,100,0,0,10.526315689086914,19860.302307128906,4096,387,3239,50,0,20457.98358154297,221857.04235839844,3274.387939453125,16408719360,4294963200,2699526144,233472
200,1771965203391,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,0,0,0,0,0,100,0,0,10,19860.447143554688,4096,387,3450,50,0,20461.730590820313,221860.21966552734,3274.387939453125,16408719360,4294963200,2712305664,233472
200,1771965203591,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,0,0,0,0,0,100,0,0,10,19860.641967773438,4096,387,3165,50,0,20465.425048828125,221863.31524658203,3274.387939453125,16408719360,4294963200,2844360704,233472
200,1771965203791,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,0,0,0,0,0,100,0,0,10.526315689086914,19860.82061767578,4096,387,3266,50,0,20468.900939941406,221866.2056274414,3274.387939453125,16408719360,4294963200,2910515200,233472
200,1771965203991,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,95.23809814453125,0,10.526315689086914,0,0,0,0,0,0,19860.99822998047,4096,387,3251,50,0,20472.13592529297,221868.8565673828,3274.387939453125,16408719360,4294963200,2943463424,233472
200,1771965204191,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,10,0,0,0,0,0,0,19861.14599609375,4096,387,3297,50,0,20475.8125,221871.93963623047,3274.387939453125,16408719360,4294963200,2961035264,233472
200,1771965204391,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,10,0,0,0,0,0,0,19861.329345703125,4096,387,3468,50,0,20478.979431152344,221874.52056884766,3274.387939453125,16408719360,4294963200,2970619904,233472
200,1771965204591,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,19.047618865966797,0,0,0,0,0,0,19861.468994140625,4096,387,3282,50,0,20482.59814453125,221877.56958007813,3274.387939453125,16408719360,4294963200,2987126784,233472
200,1771965204791,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,10,0,0,0,0,0,0,19861.623168945313,4096,387,3232,50,0,20486.28466796875,221880.68103027344,3274.387939453125,16408719360,4294963200,2999373824,233472
200,1771965204991,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,10,0,0,0,0,0,0,19861.824157714844,4096,387,3312,50,0,20489.29217529297,221883.09356689453,3274.387939453125,16408719360,4294963200,3016892416,233472
200,1771965205192,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,10.526315689086914,0,0,0,0,0,0,19861.973205566406,4096,387,3341,50,0,20493.094177246094,221886.32391357422,3274.387939453125,16408719360,4294963200,3035791360,233472
200,1771965205392,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,10,0,0,0,0,0,0,19862.189880371094,4096,387,3524,50,0,20496.293212890625,221888.9044189453,3274.387939453125,16408719360,4294963200,3044843520,233472
200,1771965205592,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,14.285715103149414,0,0,0,0,0,0,19862.343994140625,4096,387,3288,50,0,20499.447021484375,221891.48052978516,3274.387939453125,16408719360,4294963200,3056558080,233472
200,1771965205792,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,10.526315689086914,0,0,0,0,0,0,19862.486083984375,4096,387,3294,50,0,20503.267944335938,221894.70861816406,3274.387939453125,16408719360,4294963200,3066060800,233472
200,1771965205992,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,100,0,14.285715103149414,0,0,0,0,0,0,19862.63330078125,4096,387,3261,51,0,20507.225708007813,221898.08361816406,3274.4022827148438,16408719360,4294963200,3062480896,233472
200,1771965206192,800,800,800,800,800,800,800,800,800,800,800,799,0,0,0,95.23809814453125,0,10.526315689086914,0,0,0,0,0,0,19862.7783203125,4096,390,4260,51,0,20511.21533203125,221900.98431396484,3274.4022827148438,16408719360,4294963200,3110404096,233472
