Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772060930060,800,800,800,800,800,800,800,800,800,800,800,800,13.1578950881958,10.526315689086914,8.108107566833496,14.285715103149414,8.108107566833496,10.526315689086914,8.108107566833496,8.108107566833496,10.526315689086914,8.108107566833496,10.526315689086914,10.526315689086914,12350.549255371094,4096,387,3130,49,0,147519.23138427734,110383.6597290039,2828.2452392578125,16408723456,4294963200,2475429888,114688
199,1772060930061,800,800,800,800,800,800,800,800,800,800,800,800,13.1578950881958,10.526315689086914,8.108107566833496,14.285715103149414,8.108107566833496,10.526315689086914,8.108107566833496,8.108107566833496,10.526315689086914,8.108107566833496,10.526315689086914,10.526315689086914,12350.575073242188,4096,387,3130,49,0,147519.68017578125,110383.98126220703,2828.2452392578125,16408723456,4294963200,2481020928,114688
200,1772060930261,800,800,800,800,800,800,800,800,800,800,800,800,82.14286041259766,44.4444465637207,46.42856979370117,75.86206817626953,46.42856979370117,44.4444465637207,44.4444465637207,46.66666793823242,44.4444465637207,46.42856979370117,44.4444465637207,46.42856979370117,12350.725219726563,4096,387,3116,49,0,147527.77752685547,110391.54675292969,2828.2452392578125,16408723456,4294963200,2516869120,114688
200,1772060930461,800,800,800,800,800,800,800,800,800,800,800,800,55,55,52.6315803527832,60.000003814697266,57.142860412597656,57.142860412597656,57.142860412597656,52.6315803527832,100,52.6315803527832,55,52.6315803527832,12350.868530273438,4096,387,3252,49,0,147535.34368896484,110398.55072021484,2828.2452392578125,16408723456,4294963200,2521899008,114688
200,1772060930661,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,9.523809432983398,0,0,0,0,100,0,0,0,12351.024780273438,4096,387,3060,49,0,147538.90002441406,110401.55395507813,2828.2452392578125,16408723456,4294963200,2536550400,114688
200,1772060930861,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,5.263157844543457,0,0,0,0,100,0,0,0,12351.170959472656,4096,387,3079,49,0,147542.68994140625,110404.79559326172,2828.2452392578125,16408723456,4294963200,2554920960,114688
200,1772060931061,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,10,0,0,0,0,100,0,0,0,12351.358276367188,4096,387,3149,49,0,147546.4076538086,110407.94384765625,2828.2452392578125,16408723456,4294963200,2674995200,114688
200,1772060931261,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,10,0,0,0,0,100,0,0,0,12351.53857421875,4096,387,3068,49,0,147549.86114501953,110410.83575439453,2828.2452392578125,16408723456,4294963200,2750029824,114688
200,1772060931461,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,95,0,0,0,0,10,0,0,0,12351.719848632813,4096,387,3177,49,0,147553.09637451172,110413.5078125,2828.2452392578125,16408723456,4294963200,2770333696,114688
200,1772060931661,800,800,800,800,800,800,800,800,800,800,800,800,10,0,0,100,0,0,0,0,0,0,0,0,12351.87109375,4096,387,3092,49,0,147556.70880126953,110416.57043457031,2828.2452392578125,16408723456,4294963200,2805989376,114688
