Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772059652553,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,8.823529243469238,3.125,3.0303030014038086,5.882352828979492,3.0303030014038086,5.882352828979492,12.121212005615234,3.0303030014038086,3.125,5.882352828979492,6.060606002807617,8.823529243469238,11426.304809570313,4096,387,3068,48,0,123043.88671875,89253.63092041016,2825.5180053710938,16408723456,4294963200,2472628224,114688
200,1772059652553,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,8.823529243469238,3.125,3.0303030014038086,5.882352828979492,3.0303030014038086,5.882352828979492,12.121212005615234,3.0303030014038086,3.125,5.882352828979492,6.060606002807617,8.823529243469238,11426.330322265625,4096,387,3068,48,0,123044.33557128906,89253.96221923828,2825.5180053710938,16408723456,4294963200,2474491904,114688
200,1772059652753,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,48.14814758300781,46.42856979370117,48.14814758300781,46.42856979370117,82.75862121582031,50,78.57142639160156,48.27585983276367,46.42856979370117,46.42856979370117,44.4444465637207,44.4444465637207,11426.480590820313,4096,387,3080,48,0,123052.59326171875,89261.67901611328,2825.5180053710938,16408723456,4294963200,2505109504,114688
200,1772059652953,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,52.6315803527832,55,55,55,55,52.6315803527832,55,52.6315803527832,100,55,57.142860412597656,55,11426.624267578125,4096,387,3154,48,0,123060.12786865234,89268.61419677734,2825.5180053710938,16408723456,4294963200,2513088512,114688
200,1772059653153,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,0,0,0,0,0,0,5.263157844543457,0,100,0,0,0,11426.781311035156,4096,387,3278,48,0,123063.60778808594,89271.54022216797,2825.5180053710938,16408723456,4294963200,2529550336,114688
200,1772059653353,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,0,0,0,0,0,0,10,0,100,0,0,0,11426.927368164063,4096,387,3055,48,0,123067.37799072266,89274.75988769531,2825.5180053710938,16408723456,4294963200,2547920896,114688
200,1772059653553,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,0,0,0,0,0,0,9.523809432983398,0,100,0,0,0,11427.116577148438,4096,387,2910,48,0,123071.09997558594,89277.88604736328,2825.5180053710938,16408723456,4294963200,2668261376,114688
200,1772059653753,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,0,0,0,0,5,10,10.526315689086914,0,100,10,0,0,11427.306335449219,4096,387,3072,48,0,123076.02612304688,89282.23718261719,2825.5180053710938,16408723456,4294963200,2745995264,114688
200,1772059653953,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,0,0,5,85,0,0,5,4.761904716491699,15.000000953674316,55,0,0,11427.516967773438,4096,387,3079,48,0,123080.54010009766,89286.1509399414,2825.5180053710938,16408723456,4294963200,2779807744,114688
200,1772059654153,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,0,0,10,100,0,0,0,0,0,0,0,0,11427.668395996094,4096,387,3262,48,0,123084.17950439453,89289.23889160156,2825.5180053710938,16408723456,4294963200,2823966720,114688
200,1772059654354,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,0,0,14.285715103149414,100,0,0,0,0,0,0,0,0,11427.853454589844,4096,387,3106,48,0,123087.37426757813,89291.86804199219,2825.5180053710938,16408723456,4294963200,2834350080,114688
200,1772059654554,1616,800,2326,800,2428,800,800,1355,799,1820,800,1243,0,0,10,100,0,0,0,0,0,0,0,0,11427.993774414063,4096,387,3032,48,0,123090.96691894531,89294.92175292969,2825.5180053710938,16408723456,4294963200,2842603520,114688
