Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772065749188,800,800,800,800,800,800,800,800,800,800,800,800,6.060606002807617,5.882352828979492,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,6.060606002807617,5.882352828979492,5.882352828979492,5.882352828979492,5.882352828979492,12.121212005615234,15797.958740234375,4096,387,3419,50,0,230180.29345703125,180591.49993896484,2839.8124389648438,16408723456,4294963200,2449772544,114688
200,1772065749188,800,800,800,800,800,800,800,800,800,800,800,800,6.060606002807617,5.882352828979492,3.0303030014038086,3.0303030014038086,3.0303030014038086,3.0303030014038086,6.060606002807617,5.882352828979492,5.882352828979492,5.882352828979492,5.882352828979492,12.121212005615234,15797.984802246094,4096,387,3419,50,0,230180.7505493164,180591.8369140625,2839.8124389648438,16408723456,4294963200,2451894272,114688
200,1772065749388,800,800,800,800,800,800,800,800,800,800,800,800,0,81.48148345947266,0,0,0,0,0,0,0,0,0,31.034481048583984,15798.180725097656,4096,387,3059,50,0,230184.10766601563,180594.60333251953,2839.8124389648438,16408723456,4294963200,2590867456,114688
200,1772065749588,800,800,800,800,800,800,800,800,800,800,800,800,0,100,0,0,0,0,0,0,0,0,0,10,15798.359130859375,4096,387,3083,50,0,230187.33276367188,180597.2645263672,2839.8124389648438,16408723456,4294963200,2648109056,114688
200,1772065749789,800,800,800,800,800,800,800,800,800,800,800,800,4.761904716491699,10,0,85.71428680419922,0,0,0,0,0,0,0,10,15798.522766113281,4096,387,3082,50,0,230190.86029052734,180600.23413085938,2839.8124389648438,16408723456,4294963200,2689216512,114688
200,1772065749989,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,0,0,0,10,15798.67724609375,4096,387,3128,50,0,230194.2001953125,180603.0164794922,2839.8124389648438,16408723456,4294963200,2709184512,114688
200,1772065750189,800,800,800,800,800,800,800,800,800,800,800,800,0,0,5,100,0,0,0,0,0,0,0,10,15798.824157714844,4096,387,3219,50,0,230197.90509033203,180606.17083740234,2839.8124389648438,16408723456,4294963200,2711822336,114688
200,1772065750389,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,0,0,0,10,15798.9931640625,4096,387,3100,50,0,230201.2046508789,180608.90740966797,2839.8124389648438,16408723456,4294963200,2736328704,114688
200,1772065750589,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,0,0,0,10,15799.143188476563,4096,387,3041,50,0,230204.89288330078,180612.04333496094,2839.8124389648438,16408723456,4294963200,2745905152,114688
200,1772065750789,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,0,0,0,5.263157844543457,15799.330810546875,4096,387,3021,50,0,230207.8021850586,180614.380859375,2839.8124389648438,16408723456,4294963200,2769600512,114688
200,1772065750989,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,0,0,0,14.285715103149414,15799.482604980469,4096,387,3106,50,0,230211.5029296875,180617.52655029297,2839.8124389648438,16408723456,4294963200,2794242048,114688
200,1772065751189,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,0,0,0,10,15799.683532714844,4096,387,3103,50,0,230214.40795898438,180619.85583496094,2839.8124389648438,16408723456,4294963200,2802229248,114688
200,1772065751389,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,0,0,0,10,15799.834350585938,4096,387,2997,50,0,230218.0352783203,180622.9327392578,2839.8124389648438,16408723456,4294963200,2816090112,114688
200,1772065751590,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,5,0,0,0,95,0,0,0,10,15800.038818359375,4096,387,3172,50,0,230222.1141357422,180626.2843017578,2839.8519897460938,16408723456,4294963200,2960318464,114688
200,1772065751790,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,95,0,0,0,31.57894515991211,15800.215576171875,4096,390,3041,50,0,230226.48107910156,180629.73321533203,2839.8600463867188,16408723456,4294963200,3021828096,114688
200,1772065751990,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,100,0,0,0,10,15800.397705078125,4096,402,12407,50,0,230230.30743408203,180632.86541748047,2839.8600463867188,16408723456,4294963200,3080417280,114688
200,1772065752190,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,95.23809814453125,0,0,0,9.523809432983398,15800.632873535156,4096,630,14346,51,11,230233.98516845703,180635.94122314453,2839.8682861328125,16408723456,4294963200,3144650752,114688
200,1772065752390,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,95,0,0,0,10,15800.833435058594,4096,630,13840,51,36,230237.55792236328,180638.9248046875,2839.8682861328125,16408723456,4294963200,3399286784,114688
200,1772065752590,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,100,0,0,0,5,15800.987670898438,4096,630,21317,51,82,230241.2099609375,180642.03338623047,2839.8682861328125,16408723456,4294963200,3457060864,114688
