Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772065501404,800,800,800,800,799,800,800,800,800,800,800,799,8.823529243469238,11.764705657958984,5.882352828979492,3.0303030014038086,2.941176414489746,0,3.0303030014038086,5.882352828979492,3.0303030014038086,5.882352828979492,5.714285850524902,3.0303030014038086,15620.312255859375,4096,387,3314,50,0,225788.8319091797,176843.10595703125,2839.2260131835938,16408723456,4294963200,2470834176,114688
200,1772065501404,800,800,800,800,799,800,800,800,800,800,800,799,8.823529243469238,11.764705657958984,5.882352828979492,3.0303030014038086,2.941176414489746,0,3.0303030014038086,5.882352828979492,3.0303030014038086,5.882352828979492,5.714285850524902,3.0303030014038086,15620.338012695313,4096,387,3314,50,0,225789.26983642578,176843.41900634766,2839.2260131835938,16408723456,4294963200,2474295296,114688
200,1772065501604,800,800,800,800,799,800,800,800,800,800,800,799,0,0,0,0,0,0,0,81.48148345947266,0,0,0,32.14285659790039,15620.5283203125,4096,387,3208,50,0,225792.5439453125,176846.12841796875,2839.2260131835938,16408723456,4294963200,2613698560,114688
200,1772065501804,800,800,800,800,799,800,800,800,800,800,800,799,0,0,0,0,0,0,0,100,0,0,0,10,15620.70458984375,4096,387,3065,50,0,225795.60864257813,176848.63256835938,2839.2260131835938,16408723456,4294963200,2671206400,114688
200,1772065502004,800,800,800,800,799,800,800,800,800,800,800,799,0,0,4.761904716491699,80,0,0,0,15.789472579956055,0,0,0,10,15620.866821289063,4096,387,2970,50,0,225799.1756591797,176851.64654541016,2839.2260131835938,16408723456,4294963200,2707685376,114688
200,1772065502204,800,800,800,800,799,800,800,800,800,800,800,799,0,0,0,100,0,0,0,0,0,0,0,5,15621.030883789063,4096,387,3189,50,0,225802.56811523438,176854.47973632813,2839.2260131835938,16408723456,4294963200,2727120896,114688
200,1772065502405,800,800,800,800,799,800,800,800,800,800,800,799,5,0,0,100,0,0,0,0,0,0,0,10,15621.1748046875,4096,387,3102,50,0,225806.3289794922,176857.68634033203,2839.2260131835938,16408723456,4294963200,2739367936,114688
200,1772065502605,800,800,800,800,799,800,800,800,800,800,800,799,0,0,0,100,0,0,0,0,0,0,0,10,15621.343505859375,4096,387,3187,50,0,225809.59521484375,176860.3935546875,2839.2260131835938,16408723456,4294963200,2755874816,114688
200,1772065502805,800,800,800,800,799,800,800,800,800,800,800,799,0,0,0,100,0,0,0,0,0,0,0,10,15621.495056152344,4096,387,3040,50,0,225813.25463867188,176863.49926757813,2839.2260131835938,16408723456,4294963200,2764849152,114688
200,1772065503005,800,800,800,800,799,800,800,800,800,800,800,799,0,0,0,100,0,0,0,0,0,0,0,10,15621.685424804688,4096,387,3026,50,0,225816.31494140625,176865.97052001953,2839.2260131835938,16408723456,4294963200,2788229120,114688
