Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771963309236,800,810,800,883,918,800,2046,800,973,800,800,967,8.333333969116211,5.555555820465088,5.405405521392822,5.555555820465088,5.555555820465088,8.333333969116211,8.108107566833496,2.777777910232544,2.857142925262451,5.555555820465088,2.857142925262451,13.88888931274414,18493.495239257813,4096,387,3762,50,0,248870.7254638672,193073.95092773438,3269.6771240234375,16408719360,4294963200,2632400896,233472
200,1771963309236,800,810,800,883,918,800,2046,800,973,800,800,967,8.333333969116211,5.555555820465088,5.405405521392822,5.555555820465088,5.555555820465088,8.333333969116211,8.108107566833496,2.777777910232544,2.857142925262451,5.555555820465088,2.857142925262451,13.88888931274414,18493.5263671875,4096,387,3762,50,0,248871.47442626953,193074.5137939453,3269.6771240234375,16408719360,4294963200,2639855616,233472
200,1771963309436,800,810,800,883,918,800,2046,800,973,800,800,967,48.27585983276367,44.82758712768555,48.27585983276367,44.82758712768555,46.42856979370117,46.66666793823242,82.75862121582031,48.27585983276367,46.66666793823242,48.3870964050293,46.66666793823242,79.31034851074219,18493.678588867188,4096,387,3170,50,0,248879.99627685547,193082.42364501953,3269.6771240234375,16408719360,4294963200,2667544576,233472
200,1771963309636,800,810,800,883,918,800,2046,800,973,800,800,967,50,55,52.6315803527832,42.105262756347656,50,52.6315803527832,52.38095474243164,50,55,100,52.6315803527832,52.38095474243164,18493.82208251953,4096,387,3146,50,0,248887.33575439453,193089.18798828125,3269.6771240234375,16408719360,4294963200,2675798016,233472
200,1771963309836,800,810,800,883,918,800,2046,800,973,800,800,967,0,0,0,0,0,0,0,0,0,100,0,10.526315689086914,18493.979736328125,4096,387,3132,50,0,248890.89233398438,193092.1671142578,3269.6771240234375,16408719360,4294963200,2692038656,233472
200,1771963310036,800,810,800,883,918,800,2046,800,973,800,800,967,0,0,0,0,0,0,0,0,0,100,0,10,18494.126220703125,4096,387,3218,50,0,248894.6986694336,193095.39971923828,3269.6771240234375,16408719360,4294963200,2710589440,233472
200,1771963310236,800,810,800,883,918,800,2046,800,973,800,800,967,0,0,0,0,0,0,0,0,0,100,0,14.285715103149414,18494.31768798828,4096,387,3313,50,0,248898.41931152344,193098.52716064453,3269.6771240234375,16408719360,4294963200,2830131200,233472
200,1771963310436,800,810,800,883,918,800,2046,800,973,800,800,967,0,0,0,0,0,0,0,0,0,100,0,10.526315689086914,18494.495849609375,4096,387,3182,50,0,248901.91186523438,193101.4301147461,3269.6771240234375,16408719360,4294963200,2904412160,233472
200,1771963310636,800,810,800,883,918,800,2046,800,973,800,800,967,0,0,0,85.71428680419922,0,0,0,0,0,10,0,10,18494.677001953125,4096,387,3173,50,0,248905.1908569336,193104.1234741211,3269.6771240234375,16408719360,4294963200,2943520768,233472
200,1771963310836,800,810,800,883,918,800,2046,800,973,800,800,967,0,0,0,100,0,0,0,0,0,0,0,14.285715103149414,18494.827880859375,4096,387,3186,50,0,248908.8797607422,193107.23992919922,3269.6771240234375,16408719360,4294963200,2960461824,233472
