Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772061855504,800,800,799,800,800,800,800,800,800,799,800,800,15.15151596069336,5.882352828979492,6.060606002807617,5.882352828979492,5.882352828979492,5.714285850524902,8.571429252624512,8.571429252624512,5.882352828979492,5.882352828979492,3.0303030014038086,8.571429252624512,13010.374633789063,4096,387,2953,49,0,162966.8646850586,123448.49194335938,2830.3902587890625,16408723456,4294963200,2470809600,114688
200,1772061855504,800,800,799,800,800,800,800,800,800,799,800,800,15.15151596069336,5.882352828979492,6.060606002807617,5.882352828979492,5.882352828979492,5.714285850524902,8.571429252624512,8.571429252624512,5.882352828979492,5.882352828979492,3.0303030014038086,8.571429252624512,13010.4111328125,4096,387,2953,49,0,162967.57928466797,123449.04821777344,2830.3902587890625,16408723456,4294963200,2479083520,114688
200,1772061855704,800,800,799,800,800,800,800,800,800,799,800,800,13.793103218078613,27.586206436157227,0,0,0,0,0,0,20.689655303955078,0,83.87096405029297,0,13010.635131835938,4096,387,2941,49,0,162973.13891601563,123454.00476074219,2830.3902587890625,16408723456,4294963200,2645377024,114688
200,1772061855904,800,800,799,800,800,800,800,800,800,799,800,800,0,20,0,0,0,4.761904716491699,0,0,10,0,100,0,13010.829895019531,4096,387,2968,49,0,162976.9291381836,123457.22265625,2830.3902587890625,16408723456,4294963200,2719391744,114688
200,1772061856104,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,95,0,0,0,0,10,0,4.761904716491699,0,13010.995910644531,4096,387,3088,49,0,162980.40924072266,123460.11962890625,2830.3902587890625,16408723456,4294963200,2744164352,114688
200,1772061856304,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,100,0,0,0,0,10,0,0,0,13011.145141601563,4096,387,2976,49,0,162983.7744140625,123462.9306640625,2830.3902587890625,16408723456,4294963200,2762801152,114688
200,1772061856504,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,100,0,0,0,0,9.523809432983398,0,0,0,13011.286254882813,4096,387,2990,49,0,162987.42510986328,123466.03424072266,2830.3902587890625,16408723456,4294963200,2780905472,114688
200,1772061856704,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,100,0,0,0,0,10,0,0,0,13011.453796386719,4096,387,2988,49,0,162990.63671875,123468.6859741211,2830.3902587890625,16408723456,4294963200,2789158912,114688
200,1772061856904,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,95,0,0,0,0,5.263157844543457,0,0,0,13011.604797363281,4096,387,3031,49,0,162994.29302978516,123471.78991699219,2830.3902587890625,16408723456,4294963200,2801131520,114688
200,1772061857104,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,100,0,0,0,0,10,0,0,0,13011.795104980469,4096,387,3153,49,0,162997.35021972656,123474.27813720703,2830.3902587890625,16408723456,4294963200,2816233472,114688
200,1772061857305,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,100,0,0,0,0,10,0,0,0,13011.947265625,4096,387,3027,49,0,163000.99353027344,123477.36865234375,2830.3902587890625,16408723456,4294963200,2860625920,114688
200,1772061857505,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,100,0,0,0,0,14.285715103149414,0,0,0,13012.147583007813,4096,387,2991,49,0,163003.84454345703,123479.64556884766,2830.3902587890625,16408723456,4294963200,2868400128,114688
200,1772061857705,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,100,0,0,0,0,10,0,0,0,13012.297729492188,4096,387,3012,49,0,163007.49969482422,123482.72912597656,2830.3902587890625,16408723456,4294963200,2880659456,114688
200,1772061857905,800,800,799,800,800,800,800,800,800,799,800,800,4.761904716491699,0,0,100,0,0,0,0,5.263157844543457,0,0,0,13012.504821777344,4096,387,2995,49,0,163011.57537841797,123485.99774169922,2830.4345092773438,16408723456,4294963200,3037925376,114688
200,1772061858105,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,94.73684692382813,0,0,0,0,20,0,0,0,13012.685363769531,4096,390,3635,49,0,163015.7094116211,123489.34594726563,2830.4345092773438,16408723456,4294963200,3070668800,114688
200,1772061858305,800,800,799,800,800,800,800,800,800,799,800,800,0,0,0,100,0,0,0,0,10,0,0,0,13012.862060546875,4096,442,9944,49,3,163019.40844726563,123492.36688232422,2830.4345092773438,16408723456,4294963200,3150757888,114688
